id,name,last_name,gender,age,is_dead,is_king,was_king,id_father
209-44-7464,Caria,Le Provest,F,53,0,0,0,692-75-3283
630-52-9210,Faunie,Sullens,F,82,0,1,0,416-49-6490
410-07-5419,Sheelah,McKune,F,39,0,1,1,261-83-8765
815-65-2096,Rustin,Benbrick,M,67,1,1,0,438-27-3092
123-23-9118,Eamon,Challoner,M,79,0,1,1,669-11-2650
601-65-3056,Arnold,Schimon,M,44,0,0,0,762-13-0129
271-06-1138,Carolee,Yonge,F,77,1,0,0,718-05-3882
341-28-1121,Lefty,Butt Gow,M,15,0,1,0,630-52-9210
261-83-8765,Rem,Seers,M,32,1,1,0,815-65-2096
692-75-3283,Abby,O'Fogerty,F,39,0,1,1,438-27-3092
669-11-2650,Sutton,Bristow,M,79,0,1,0,534-30-7754
416-49-6490,Abeu,Rigglesford,M,85,0,0,1,669-11-2650
234-20-6159,Kort,Temple,M,96,1,0,1,271-06-1138
318-29-9225,Carl,Goodey,M,23,1,1,1,187-40-1409
124-02-8493,Sean,Skyppe,F,54,1,0,1,593-75-4022
718-05-3882,Nettle,Tummond,F,99,0,0,1,595-08-7413
511-02-4257,Mella,Kleinhausen,F,82,0,1,0,801-33-8829
841-85-3185,Dana,Peltz,M,19,1,0,0,630-52-9210
880-10-1473,Oberon,Bohman,M,23,1,1,0,476-73-7371
185-52-1316,Birch,Don,M,99,0,1,1,635-20-6962
581-40-6594,Nixie,Kordt,F,87,0,0,0,497-48-0571
497-48-0571,Breanne,Herety,F,67,0,0,0,762-13-0129
863-99-6081,Rachel,Summerson,F,97,1,0,0,209-44-7464
867-77-2314,Kellsie,Gaylord,F,43,0,0,1,801-04-6576
774-81-9303,Markus,Bevans,M,39,1,0,0,867-77-2314
831-25-6114,Gabey,Arton,F,26,1,1,0,410-07-5419
876-10-6317,Giacomo,Marchent,M,15,0,1,0,187-40-1409
801-04-6576,Sofia,Feehily,F,100,1,0,0,831-25-6114
595-08-7413,Eadie,Burbage,F,31,1,1,1,234-20-6159
534-30-7754,Cecilla,Ironmonger,F,20,1,0,1,801-33-8829
762-13-0129,Colet,Woolvett,M,41,1,0,1,123-23-9118
779-03-2883,Theresina,Pinches,F,69,1,0,0,209-44-7464
635-20-6962,Gale,Westhoff,F,98,0,0,0,234-20-6159
476-73-7371,Ariel,Hultberg,M,24,0,0,1,876-10-6317
801-33-8829,Jacky,Boxe,M,72,1,1,1,261-83-8765
232-32-6485,Belva,Gallelli,F,84,0,0,1,593-75-4022
593-75-4022,Philbert,Demageard,M,87,1,0,1,876-10-6317
304-47-0336,Osborn,Geare,M,22,1,0,1,718-05-3882
438-27-3092,Guendolen,Chivrall,F,43,0,1,0,880-10-1473
187-40-1409,Abbie,Wieprecht,M,23,0,1,1,841-85-3185
